GENE_NAME,V1884,N58,V630,N60,V1297,NV1428,N82,V940,V2092,V624,V777,V553,V1441,V1921,V538,V1857,V456,NV912,V2089,V1823,V2241,N54,V655,V2110,V839,V125,N83,V637,V712,NV911,V2133,V1742,V1591,V108,V1874,V221,V148,N70,N87,V574,V359,V1337,V883,V1592,V1422,V1708,V1505,V18,V1788,V1776,N84,V1800,V716,N86,V888,V1321,V1279,V1528,V344,N85,V1699,V1456,V1394,V714,V67,V1090,V1860,V406,V1834,V1048,V806,V513,V1565,V1920
MIR636,1,1,1,1,2,1,4,2,2,1,3,4,1,2,2,3,1,1,2,2,1,1,2,1,1,1,6,4,1,5,2,1,2,1,1,1,4,5,2,1,1,1,2,5,1,1,2,1,1,1,1,1,3,1,6,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,6,1,2
MIR1912,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4783,3,3,0,3,0,2,0,0,2,2,0,6,3,2,2,5,2,2,2,0,0,3,2,2,3,2,2,1,0,1,5,6,4,1,2,5,2,0,1,0,1,3,0,2,0,6,0,3,0,5,5,1,5,0,4,2,3,0,4,2,4,1,1,8,3,3,3,0,4,2,5,0,4,6
MIR138-2,2,3,0,9,2,0,4,2,0,0,0,5,0,0,0,2,3,0,0,0,0,0,5,0,2,1,0,0,0,0,0,1,0,5,2,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,3,0,0
MIR181B2,4,5,0,11,1,4,0,2,3,1,7,13,6,0,3,2,9,1,4,2,9,5,9,1,16,1,2,0,8,0,3,2,0,14,3,0,2,11,3,0,1,4,0,0,1,14,0,2,5,0,0,2,12,0,2,5,2,0,3,3,3,0,0,3,7,0,5,4,3,2,2,8,3,4
MIR658,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
MIRLET7B,2,1,2,1,1,9,8,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1
MIR7845,25,127,88,366,30,78,45,24,65,44,165,270,138,88,98,27,35,60,188,27,84,115,163,70,134,115,92,97,180,154,69,49,12,79,138,78,148,391,92,24,86,33,114,144,70,66,32,66,33,86,122,85,419,52,147,101,97,75,38,54,152,11,67,209,84,55,110,110,77,37,75,169,49,151
MIR200B,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,3,0,3,0,0,0,1,3,2,0,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,2,0,0,1,0,4,0,0,2,0,0,6,1,0,1,0,3
MIR23C,0,1,0,2,0,1,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
MIR6883,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
MIR921,0,0,2,1,0,1,4,2,1,0,2,0,3,1,1,2,0,0,0,0,2,4,0,2,0,2,0,0,0,0,4,1,0,2,3,5,2,1,0,0,2,2,1,3,0,0,0,2,0,4,0,2,3,1,3,2,1,0,0,0,1,1,6,1,2,2,0,1,5,1,2,0,0,3
MIR4433A,0,0,3,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,3,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
MIR6761,10,2,8,13,1,1,3,3,4,5,5,26,6,4,1,4,2,0,8,2,2,5,1,2,4,2,3,2,5,1,2,4,1,4,1,1,2,1,3,1,1,1,2,2,1,2,5,1,6,2,1,4,25,2,1,5,1,1,5,1,5,5,2,5,3,6,10,6,1,2,7,5,1,7
MIR4326,8,7,8,6,7,6,4,18,1,4,6,32,14,4,14,5,4,19,7,7,18,5,31,4,8,17,9,9,7,8,2,16,10,8,7,2,5,14,8,6,18,4,18,13,5,10,3,16,23,2,5,12,10,10,6,8,11,7,2,5,26,7,11,2,3,6,4,24,20,11,15,15,3,14
MIR2467,14,8,4,28,10,4,7,7,6,9,4,19,0,10,10,6,14,4,1,4,10,5,10,4,5,8,3,1,14,4,2,12,17,13,3,3,11,12,0,4,4,8,2,8,10,6,3,10,8,4,5,4,12,7,9,8,4,11,5,3,9,11,6,2,11,10,11,14,8,14,8,6,1,11
hsa-mir-3607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR4678,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,4,0,0,2,0,1,3,2,7,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,1,0
MIR3145,2,1,1,4,0,0,0,0,1,0,2,2,2,1,4,3,3,1,3,1,2,1,3,0,0,0,6,0,0,0,0,0,1,0,0,0,2,7,0,4,0,1,0,1,0,1,3,0,0,0,1,0,3,0,1,3,3,1,0,0,1,0,3,3,0,1,2,0,3,0,0,4,6,0
MIR5009,16,5,4,4,15,7,23,5,8,15,16,16,1,7,4,4,14,16,6,3,6,11,13,9,1,6,18,0,0,7,2,3,7,2,6,4,7,2,5,8,8,15,13,10,13,13,10,3,20,10,13,4,10,10,6,1,6,5,4,16,12,2,14,5,4,5,3,14,23,5,13,3,9,8
MIR4436A,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR18A,38,13,102,1,67,62,28,1,15,40,74,19,127,95,73,32,66,32,133,17,39,130,1,20,76,17,81,1,1,1,8,52,90,55,52,120,13,159,9,13,33,85,16,130,65,121,43,68,196,26,75,68,1,12,50,60,63,20,70,17,31,84,93,1,100,59,55,52,47,88,1,24,143,58
MIR1184-3,19,34,13,31,3,21,13,1,25,16,16,11,19,14,20,7,11,25,40,1,21,19,26,28,13,32,16,4,12,26,7,49,22,10,20,10,24,20,37,23,35,14,1,12,11,25,26,15,20,13,33,47,19,11,38,20,36,25,32,34,15,12,24,13,30,11,20,11,2,0,2,13,31,23
MIR3191,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,1,1,3,1
MIR4744,18,3,9,1,17,15,6,4,2,3,6,10,4,16,9,10,8,7,6,8,15,5,4,17,7,7,18,4,2,8,2,7,9,5,17,6,10,2,4,15,4,2,5,8,14,12,8,4,7,14,9,6,15,6,6,12,6,2,14,11,9,13,7,17,9,10,12,22,12,6,11,6,2,9
MIR4511,1,1,1,1,1,2,5,3,0,1,1,1,2,1,0,0,0,1,0,1,3,2,1,1,1,2,2,1,2,1,7,1,1,1,1,2,2,1,2,1,2,0,0,0,1,1,1,1,2,0,3,1,2,2,0,1,4,1,0,4,2,1,1,1,0,4,2,4,0,2,2,0,0,1
MIR4788,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1
MIR548AN,0,0,1,3,0,0,3,1,0,0,2,0,0,2,0,4,0,0,0,0,1,3,2,1,3,9,6,1,0,2,0,0,0,0,0,5,2,0,2,0,1,0,1,5,1,0,0,2,0,5,2,0,0,0,1,0,8,2,0,4,1,0,1,0,5,5,0,0,2,0,2,1,1,4
MIR6797,56,55,34,36,31,27,15,63,18,38,12,41,53,40,32,3,15,33,38,22,46,25,19,33,86,82,30,8,27,16,7,61,42,41,27,51,33,47,8,47,43,33,30,34,60,76,73,55,77,35,38,41,53,18,34,24,52,24,153,14,76,38,32,28,52,35,39,47,25,35,50,59,37,25
MIR4436B1,4,1,2,2,1,0,0,1,0,0,1,0,2,0,2,1,2,0,2,0,0,2,2,1,1,3,2,2,2,0,1,0,1,0,4,2,3,4,0,1,1,0,1,4,1,4,0,0,3,2,0,2,0,0,2,0,1,1,0,0,5,0,1,0,0,4,0,1,5,1,1,0,5,1
MIR1302-11,1,0,1,1,1,1,1,0,6,1,1,2,1,1,2,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
MIR676,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,3,2,3,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
MIR3160-2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
