GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
NFIA,7307,609,2973,2996,11256,7285,4742,2948,6239,654,12126,514,6720,9485,842,2844,6370,1129,5805,6851,5005,11928,19369,5119,1578,11275,917,365,7865,5617,6782,5735,11874,4394,5132,3927,5120,4940,4618,1431,1406,7959,1386,10948,7274,9075,14552,9328,5594,9659,10790,6374,568,6065,7845,14669,8291,10960,228,5843,12272,3193,9719,4605,5196,9805
LDB1,22297,7015,9138,10567,10457,9352,7549,10008,28315,2421,19861,4497,19321,10215,9394,2204,9804,6672,10913,12775,15424,27219,38191,9552,7116,22501,8918,7350,18284,8061,9720,11091,19079,8418,9577,13571,9764,8372,9489,5166,13184,14851,2338,15195,6665,21368,21248,16577,15627,16133,12960,11411,13803,13022,13981,13444,16657,14927,11552,11597,27286,6879,20904,17538,14748,20674
OAT,5026,1365,4303,3902,6228,2397,3969,4108,10036,1247,6729,1541,3633,5777,2394,1299,4885,1362,5877,2767,8921,7109,12069,4229,1743,7394,3853,3254,4585,4319,3893,3529,5228,3306,1703,4352,2800,3494,3238,1082,445,2887,631,3317,4347,4300,8947,6709,3940,3274,3674,2348,3267,4708,3194,5554,6432,5033,4181,5562,6438,2993,3904,2404,4918,10321
SLFN13,6487,2320,4113,2759,3934,3848,3543,3913,8795,888,5429,3528,4334,4721,3863,1160,4689,469,6299,3401,3896,2854,7969,7333,5060,5161,3194,3647,5421,4521,3879,4209,5029,5016,6258,2291,2732,4574,3355,1711,7743,6281,789,4224,6106,4419,5753,3672,10281,3752,3926,3505,5751,7165,4088,999,3680,2991,2164,4232,6004,2053,4836,660,7090,7289
HLA-DPA1,16215,17995,16220,18453,27435,13215,11689,12395,13348,1267,10847,6011,10922,15068,9762,4941,31592,5889,18943,12607,18756,6401,7666,14641,13615,6853,12811,12876,9565,13091,10502,10923,2491,11264,8952,9034,5561,11611,30022,7358,6308,12026,956,29881,7067,6811,14762,4226,12993,20081,21627,20805,31502,9966,10471,21045,15640,12260,15750,8121,11066,11033,4817,5973,4973,38460
ARL6IP5,5051,7280,5968,4656,9210,7583,3976,9138,7387,1754,10251,8002,7282,9322,4424,2301,11492,5743,6569,5510,15576,6310,9478,6509,7248,6525,7458,3428,4353,7156,6535,6388,3747,5905,3949,5821,4093,7179,8719,4916,8669,10451,1091,13939,4203,4794,7023,4103,13964,9016,6905,5401,17373,6067,8181,9024,8530,5932,10122,6215,5221,4192,4494,2788,5454,11782
HELLS,11193,8026,6160,13165,6695,5182,7626,12710,9089,2460,9305,3133,7366,5120,4383,1442,12991,1270,11250,6020,6033,11823,13245,16167,5042,6181,7653,3837,11125,8533,8441,5726,9775,10308,7504,5862,2976,8966,8865,3205,7441,7558,956,9071,4801,7857,9208,6845,7093,7850,4919,1851,3384,7950,11748,5024,7371,4645,3327,6301,9563,3780,5527,3839,12882,13982
HIST1H2AC,1011,626,1619,18343,1088,1083,1313,3001,1005,3256,2276,685,1183,1208,500,292,1398,590,1385,522,1644,729,968,1457,2934,870,2364,294,620,860,26825,900,666,3903,2021,28676,680,459,1203,611,1821,1982,195,730,14718,451,1511,655,9281,1639,835,579,3235,668,4222,817,2301,448,1536,556,919,509,602,360,1385,2255
COA1,5701,4617,4055,5990,4912,5195,2974,4814,7979,1282,6059,3270,4005,4981,4660,1663,4921,3908,4939,4527,5948,6152,8076,5874,5449,6123,4878,3730,5354,5038,4986,4591,5451,3565,4474,5695,2461,5043,4831,4046,6542,5944,882,6643,4633,4429,5946,5142,4914,3232,4470,3837,4087,5456,4631,6566,5034,3520,3828,5625,5428,3977,4728,2611,4678,7436
SECISBP2,10297,8277,6727,9548,11951,10184,14929,8811,11121,2741,9685,7189,7929,8176,12800,3223,10032,9751,15392,7157,8165,8804,8672,19896,11061,8447,8938,7347,9080,8414,9898,8797,8497,15926,8708,7211,3637,5814,10839,8257,11796,11604,1394,12146,10332,7705,9432,7596,11676,10673,7840,9861,9262,8259,6790,12575,7983,6362,7132,11025,8886,8979,7506,3226,11051,10753
