GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR6868,5,1,5,1,1,1,2,1,2,1,3,5,2,2,4,5,3,8,2,3,1,6,1,3,1,1,4,5,5,3,4,1,2,1,1,1,2,3,1,1,4,2,7,1,1,2,3,2,1,1,2,1,2,1,8,3,1,1,2,3,4,4,1,3,2,1
MIR489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1263,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR302C,2,0,0,0,0,1,0,0,0,0,2,1,1,0,6,0,2,0,1,0,1,0,0,0,0,6,2,0,2,0,0,0,0,1,2,0,2,0,0,1,1,3,2,0,2,0,1,2,0,2,1,1,0,0,1,0,2,0,2,2,1,0,0,2,0,0
MIR4470,5,2,2,3,0,26,1,2,0,1,1,14,1,6,3,0,0,3,1,5,3,0,3,2,2,3,3,4,0,0,2,3,0,0,4,1,1,10,2,4,6,4,3,3,3,3,0,3,2,4,15,2,3,1,1,3,3,0,13,3,3,3,4,4,0,4
MIR4425,0,1,1,0,3,0,0,0,0,5,0,9,0,0,11,1,0,0,0,1,3,3,0,0,4,0,2,2,2,2,0,0,0,2,0,0,0,3,0,4,4,0,11,7,1,2,0,1,1,5,2,0,2,0,0,0,0,0,0,2,2,8,0,3,2,0
MIR581,6,9,3,16,22,18,10,25,7,13,12,14,10,4,17,0,19,16,14,11,12,10,13,8,26,13,18,12,15,26,10,7,20,22,3,3,1,7,10,3,7,8,5,20,20,1,17,11,9,13,7,13,5,8,22,33,12,2,3,19,7,21,10,15,6,13
MIR5010,27,22,3,3,8,30,6,9,19,2,14,10,13,8,26,3,17,24,5,13,3,17,15,5,7,15,20,14,12,10,11,11,23,2,12,3,5,9,10,31,32,12,6,39,12,6,52,9,19,8,12,31,15,20,7,19,20,20,12,5,22,11,31,25,21,13
MIR1255B2,1,1,1,2,1,2,0,1,1,2,1,1,2,3,0,2,0,3,0,2,1,1,2,3,2,2,0,0,1,2,1,1,2,1,3,1,1,0,1,1,1,0,0,2,1,1,3,1,1,3,3,2,2,1,1,0,1,1,0,2,3,1,2,2,1,1
MIR550A2,22,4,24,17,23,11,16,10,20,8,11,9,9,13,10,1,9,8,13,9,4,17,1,21,15,13,28,12,25,8,12,7,9,16,6,10,6,7,16,11,29,15,8,19,13,11,16,13,15,2,18,12,9,8,14,7,9,10,14,19,8,7,3,2,14,15
